No;Time;DC/AC;Value;Unit;Auto
139;17:49:00;DC;4.76;mA;AUTO
140;17:49:01;DC;4.76;mA;AUTO
141;17:49:01;DC;4.76;mA;AUTO
142;17:49:02;DC;4.76;mA;AUTO
143;17:49:03;DC;4.76;mA;AUTO
144;17:49:03;DC;4.76;mA;AUTO
145;17:49:04;DC;4.76;mA;AUTO
146;17:49:05;DC;4.76;mA;AUTO
147;17:49:05;DC;4.76;mA;AUTO
148;17:49:06;DC;4.76;mA;AUTO
149;17:49:07;DC;4.76;mA;AUTO
150;17:49:07;DC;4.76;mA;AUTO
151;17:49:08;DC;4.76;mA;AUTO
152;17:49:09;DC;4.76;mA;AUTO
153;17:49:09;DC;4.76;mA;AUTO
154;17:49:10;DC;4.76;mA;AUTO
155;17:49:11;DC;4.76;mA;AUTO
156;17:49:11;DC;4.76;mA;AUTO
157;17:49:12;DC;4.76;mA;AUTO
158;17:49:13;DC;4.76;mA;AUTO
159;17:49:13;DC;4.76;mA;AUTO
160;17:49:14;DC;4.76;mA;AUTO
161;17:49:14;DC;4.76;mA;AUTO
162;17:49:15;DC;4.76;mA;AUTO
163;17:49:16;DC;4.76;mA;AUTO
164;17:49:16;DC;4.76;mA;AUTO
165;17:49:17;DC;4.76;mA;AUTO
166;17:49:18;DC;4.76;mA;AUTO
167;17:49:18;DC;4.76;mA;AUTO
168;17:49:19;DC;4.76;mA;AUTO
169;17:49:20;DC;4.76;mA;AUTO
170;17:49:20;DC;4.76;mA;AUTO
171;17:49:21;DC;4.76;mA;AUTO
172;17:49:22;DC;4.76;mA;AUTO
173;17:49:22;DC;4.76;mA;AUTO
174;17:49:23;DC;4.76;mA;AUTO
175;17:49:24;DC;4.76;mA;AUTO
176;17:49:24;DC;4.76;mA;AUTO
177;17:49:25;DC;4.76;mA;AUTO
178;17:49:26;DC;4.76;mA;AUTO
179;17:49:26;DC;4.76;mA;AUTO
180;17:49:27;DC;4.76;mA;AUTO
181;17:49:28;DC;4.76;mA;AUTO
182;17:49:28;DC;4.76;mA;AUTO
183;17:49:29;DC;4.76;mA;AUTO
184;17:49:30;DC;4.76;mA;AUTO
185;17:49:30;DC;4.76;mA;AUTO
186;17:49:31;DC;4.76;mA;AUTO
187;17:49:32;DC;4.76;mA;AUTO
188;17:49:32;DC;4.76;mA;AUTO
189;17:49:33;DC;4.76;mA;AUTO
190;17:49:34;DC;4.76;mA;AUTO
191;17:49:34;DC;4.76;mA;AUTO
192;17:49:35;DC;4.76;mA;AUTO
193;17:49:36;DC;4.76;mA;AUTO
194;17:49:36;DC;4.76;mA;AUTO
195;17:49:37;DC;4.76;mA;AUTO
196;17:49:38;DC;21.821;mA;AUTO
197;17:49:38;DC;21.817;mA;AUTO
